	name	lenght	energy	x	y	z	dx	dy	dz	
	Epair	23817.352324681804	95753823.27352698	0.016708164651240722	-0.049895895942825674	-23817.352324586736	1.9004113226804328e-06	1.14480039716395e-06	-0.9999999999975367	
	Epair	25283.288186999485	95724702.00775181	0.0179530066113045	-0.04739714942501927	-25283.288186901755	-7.989303221762785e-08	2.0958201658999608e-06	-0.9999999999977983	
	Epair	25487.25680261509	95043776.28004019	0.017995690507148727	-0.04691255970392891	-25487.25680251678	5.564078065775824e-07	2.5590539564321054e-06	-0.9999999999965685	
	Epair	26912.910071645245	95032130.50888641	0.019934909158067424	-0.046032952718546585	-26912.91007154534	9.91784864054959e-07	-8.679203974411309e-07	-0.9999999999991291	
	Epair	27165.710517363634	94992843.65333621	0.02019039042008074	-0.04626955043544109	-27165.710517263487	9.258699621121261e-07	-9.483648053215142e-07	-0.9999999999991193	
	Epair	27852.99563469925	94989470.8466023	0.020751845099187947	-0.04692917911046862	-27852.995634598556	3.05729923347176e-07	-1.1860631689849246e-06	-0.9999999999992474	
	Epair	29099.69166787901	94983271.30812481	0.020889091564672932	-0.049514102674501424	-29099.691667775624	-1.5024511552412538e-07	-2.24135104061158e-06	-0.9999999999974744	
	Epair	30036.753737488772	94965647.47394581	0.021097850043817853	-0.05082418821025172	-30036.753737384443	-8.593009374904203e-09	-1.2448405304270674e-06	-0.9999999999992225	
	Epair	30213.072383032133	94377156.349489	0.02109637879114652	-0.05100899442400208	-30213.07238292771	-4.988511899360135e-08	-1.223771993243109e-06	-0.9999999999992473	
	Brems	30432.486978909285	93147140.02765034	0.02104375425226571	-0.051281587713654576	-30432.486978804685	-5.283443447523602e-07	-1.2624169457866163e-06	-0.9999999999990609	
	Epair	30927.831386579484	93143447.51625088	0.020825565062980445	-0.05218294258696056	-30927.831386474016	-2.644123739217344e-07	-1.989282453126656e-06	-0.9999999999979837	
	Epair	31216.57868701913	93139486.42300972	0.02072789518459045	-0.05281590902098205	-31216.57868691295	-6.089309793960269e-07	-2.1798105256703413e-06	-0.9999999999974362	
	Epair	31888.33534600534	93109659.21743482	0.020118735711037502	-0.05463843357784557	-31888.335345896412	-1.5258391324080415e-06	-3.6139214766304134e-06	-0.999999999992303	
	Epair	32139.332979354258	93105498.60741565	0.019678926036104338	-0.05539812593128646	-32139.332979243794	-2.0038150420788913e-06	-3.048039712874069e-06	-0.9999999999933444	
	Epair	32329.566324096548	93095105.67630346	0.019239454660134842	-0.05598558480462977	-32329.56632398467	-2.4976382523545416e-06	-3.1570628485185618e-06	-0.9999999999918947	
	Epair	33041.23715152257	92601083.33572459	0.017509857378354237	-0.05851866882373807	-33041.23715140407	-2.3921847740276435e-06	-4.114577843173191e-06	-0.9999999999886712	
	Epair	33327.69485763539	92598848.64297742	0.016805211655566844	-0.05974623535553529	-33327.694857513394	-2.2799124768012715e-06	-4.4679483124339536e-06	-0.9999999999874171	
	Epair	34341.465699047636	92575490.29621096	0.01511262202186993	-0.064539501990819	-34341.46569891289	-1.0352670190737888e-06	-5.184091775209786e-06	-0.999999999986024	
	Epair	34784.46485623796	92572419.12895611	0.014620359560888245	-0.06693887721441842	-34784.46485609644	-5.031506808984502e-07	-5.674352000284445e-06	-0.9999999999837715	
	Epair	35036.81270444092	92567968.56172955	0.01440720415808848	-0.06836869419235923	-35036.81270429526	-1.292881627777748e-06	-5.961124457123043e-06	-0.999999999981394	
	Epair	35115.827587832086	92534463.50993341	0.014313543381658581	-0.06883824700326045	-35115.82758768498	-1.0534145931453011e-06	-6.02872204126211e-06	-0.9999999999812696	
	Epair	36324.78280320423	92529032.33875313	0.012676334054119921	-0.07689397642606317	-36324.78280302917	-1.904899011249785e-06	-7.750667685005404e-06	-0.9999999999681465	
	Epair	36580.28316229944	92504890.94357845	0.012193913610463503	-0.07900210578192074	-36580.28316211523	-2.0630319456363743e-06	-8.801092445483347e-06	-0.9999999999591396	
	Epair	36636.345674230106	92485012.32374689	0.01207479735157376	-0.07949368943049523	-36636.34567404361	-2.1571937109622584e-06	-8.831462985761365e-06	-0.9999999999586732	
	Epair	36714.93112102574	92274355.56260796	0.011911968774134845	-0.08019864146139533	-36714.93112083591	-1.957944589356459e-06	-9.074940586785121e-06	-0.9999999999569033	
	Epair	37425.93815035796	92265643.96914284	0.010312757321984457	-0.08648113042688987	-37425.93815013857	-2.7330472371168203e-06	-8.915250193811566e-06	-0.9999999999565217	
	Epair	37570.53859863503	92253424.8376131	0.009911637307911758	-0.08773534846301531	-37570.53859840965	-2.7272218797508233e-06	-8.490640610040678e-06	-0.9999999999602329	
	Epair	39758.54051659329	92183632.50898123	0.002812338371238402	-0.10495467561255119	-39758.54051628863	-2.2091192349845177e-06	-7.713574293737362e-06	-0.9999999999678075	
	Epair	39879.832540788666	92177263.36404772	0.002557258703966886	-0.10590388552543492	-39879.83254048003	-1.9834758402887355e-06	-7.888838515673611e-06	-0.9999999999669132	
	Epair	40069.68814589877	92121156.23357725	0.002180020558980257	-0.10745335295268287	-40069.68814558343	-1.8683248761436104e-06	-8.455353782654342e-06	-0.9999999999625054	
	Epair	40244.260446482025	92067219.21200149	0.0018602824980664882	-0.10894510450918364	-40244.26044616001	-1.4675590305760857e-06	-8.870771443866398e-06	-0.999999999959575	
	Epair	40345.568313032425	92058942.15934782	0.001723710861152865	-0.10986400511710165	-40345.56831270615	-1.337579696703885e-06	-9.214569676558725e-06	-0.9999999999566483	
	Epair	40788.96619164202	92056355.94156303	0.0011822543881882175	-0.11404611037098196	-40788.966191295694	-8.774392090352779e-07	-9.778586025837476e-06	-0.9999999999518018	
